Request ID,Product Manager Name,Title,Description,Planned,Comment,Jira Link,Critical,Final Decision,Requestor Group,Group 1 Status,Group 2 Status,Group 3 Status,Group 4 Status,Group 5 Status,Group 6 Status,Group 7 Status,Group 8 Status,Group 9 Status,Group 10 Status,Group 11 Status,Group 12 Status,Group 13 Status,Group 14 Status,Group 15 Status,Group 16 Status,Group 17 Status,Group 18 Status
155,New Manager15,cheaking,cheaking planned,2024 Q2,,,low,,,Not Required,In Q(M),Not Required,In Q(M),Not Required,In Q(M),Not Required,Not Required,In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
162,New Manager1,plpl,try to enter new request without email,2024 Q2,,,low,,,Not Required,Pending Response,Not Required,Pending Response,Not Required,Not Required,Pending Response,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
146,New Manager8,email,try to enter new request without email,2024 Q4,rivky trying,,medium,notInQ,,Not Required,Not Required,Not Required,In Q(M),Not Required,In Q(M),In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
154,New Manager15,ghgh,try to enter new request without email,,,,high,,,Not Required,Not Required,Not Required,Not Required,In Q(M),Not Required,In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
163,New Manager10,qqqqqqqqqqq,qq,2024 Q3,,,high,,,Not Required,Not Required,Not Required,Not Required,Not Required,In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
150,New Manager7,ayala,Beckerman,,,,medium,,,Not Required,Not Required,Not Required,In Q(M),In Q(M),In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
148,New Manager7,hh,try to enter new request without email,2024 Q2,,,medium,,,Not Required,Not Required,In Q(M),Not Required,Not Required,In Q(M),In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
153,New Manager1,gg,try to enter new request without email,,,,medium,,,Not Required,Not Required,Not Required,Not Required,In Q(M),In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
152,New Manager8,vc,cv,,,,low,,,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
159,New Manager15,sunday,love is love,2024 Q3,,,medium,,,Not Required,Not Required,Not Required,Pending Response,Not Required,Pending Response,Pending Response,Not Required,Pending Response,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
151,New Manager1,ww,ww,,,,critical,,,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
158,New Manager15,right,now,2024 Q3,,,medium,,,Not Required,Not Required,Not Required,Pending Response,Pending Response,Not Required,Pending Response,Not Required,Pending Response,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
160,New Manager15,Shirly Klbock,love is love,2024 Q2,,,medium,,,Not Required,Not Required,Not Required,Pending Response,Not Required,Pending Response,Not Required,Pending Response,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
156,New Manager11,i am try,i love everyone,2024 Q4,,,critical,,,Not Required,In Q(M),In Q(M),In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
157,New Manager15,love,love is love,2024 Q1,,,medium,,,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,In Q(M),In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
161,New Manager1,love,love is love,2024 Q3,,,low,,,Not Required,Not Required,Pending Response,Pending Response,Pending Response,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
149,New Manager7,ghgh,try to enter new request without email,2024 Q1,,,critical,,,Not Required,Not Required,Not Required,In Q(M),Not Required,In Q(M),In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
164,New Manager10,rivky,vbjfv,2024 Q3,,,medium,,,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
155,New Manager15,cheaking,cheaking planned,2024 Q2,,,low,,,Not Required,In Q(M),Not Required,In Q(M),Not Required,In Q(M),Not Required,Not Required,In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
162,New Manager1,plpl,try to enter new request without email,2024 Q2,,,low,,,Not Required,Pending Response,Not Required,Pending Response,Not Required,Not Required,Pending Response,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
146,New Manager8,email,try to enter new request without email,2024 Q4,rivky trying,,medium,notInQ,,Not Required,Not Required,Not Required,In Q(M),Not Required,In Q(M),In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
154,New Manager15,ghgh,try to enter new request without email,,,,high,,,Not Required,Not Required,Not Required,Not Required,In Q(M),Not Required,In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
163,New Manager10,qqqqqqqqqqq,qq,2024 Q3,,,high,,,Not Required,Not Required,Not Required,Not Required,Not Required,In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
150,New Manager7,ayala,Beckerman,,,,medium,,,Not Required,Not Required,Not Required,In Q(M),In Q(M),In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
148,New Manager7,hh,try to enter new request without email,2024 Q2,,,medium,,,Not Required,Not Required,In Q(M),Not Required,Not Required,In Q(M),In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
153,New Manager1,gg,try to enter new request without email,,,,medium,,,Not Required,Not Required,Not Required,Not Required,In Q(M),In Q(M),Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required,Not Required
